Название,"Цена, руб.",Год выпуска,"Пробег, км.",Тип кузова,Цвет,"Объем двигателя, л.","Мощность двигателя, л/с",Тип двигателя,"Налог, руб.",Тип коробки передач,Привод,Положение руля,Состояние,Число владельцев,ПТС,"Время владения, г.",Таможня,URL адрес
Hyundai Elantra III (XD2) Рестайлинг,275000,2006,167667,седан,серебристый,1.6,105,Бензин,2625,механическая,передний,Левый,Не требует ремонта,1,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104839306-2865a82f/
Hyundai Elantra III (XD),170000,2003,165000,седан,серебристый,2.0,139,Бензин,4865,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,6.5,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103186107-888caa00/
Hyundai Elantra IV (HD),400000,2006,209000,седан,серебристый,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,1,Оригинал,14.7,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104787584-f5fd686a/
Hyundai Elantra V (MD),729000,2012,111715,седан,синий,1.6,132,Бензин,4620,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104617503-06f7debe/
Hyundai Elantra IV (HD),565000,2010,72604,седан,синий,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103883961-4377a9c7/
Hyundai Elantra IV (HD),481000,2006,158460,седан,красный,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104071040-852c8b67/
Hyundai Elantra III (XD),195000,2002,232000,седан,синий,1.6,107,Бензин,2675,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104878635-42e52f0f/
Hyundai Elantra IV (HD),410000,2008,285200,седан,белый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,2.7,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104863509-81f03d38/
Hyundai Elantra VI (AD),986000,2016,79487,седан,серый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104896003-fb50c325/
Hyundai Elantra VI (AD),869000,2016,161600,седан,синий,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104614100-066fb06d/
Hyundai Elantra III (XD2) Рестайлинг,189000,2004,185500,седан,серебристый,1.6,105,Бензин,2625,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104032386-4692c1a1/
Hyundai Elantra IV (HD),,2010,205000,седан,красный,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104811083-01966c3c/
Hyundai Elantra VI (AD) Рестайлинг,1464000,2019,48828,седан,белый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104784230-137a2684/
Hyundai Elantra ТагАЗ III (XD2) Рестайлинг,370000,2008,178000,седан,красный,1.6,105,Бензин,2625,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104890507-b0a582b2/
Hyundai Elantra VI (AD) Рестайлинг,1635000,2020,15147,седан,белый,2.0,150,Бензин,5250,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104633149-6dfc0638/
Hyundai Elantra IV (HD),519000,2009,106450,седан,бежевый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104145283-0d5379dd/
Hyundai Elantra V (MD) Рестайлинг,1010000,2015,67460,седан,бежевый,1.6,132,Бензин,4620,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104820290-ac58bb7d/
Hyundai Elantra V (MD) Рестайлинг,966000,2015,48140,седан,голубой,1.6,132,Бензин,4620,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104699962-2b3ef64b/
Hyundai Elantra VI (AD) Рестайлинг,1367000,2019,16354,седан,чёрный,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104741184-87bb3813/
Hyundai Elantra VI (AD) Рестайлинг,1310000,2019,25864,седан,серый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103878015-7559d523/
Hyundai Elantra VI (AD) Рестайлинг,1285000,2019,22590,седан,серый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103983796-bdb71ccc/
Hyundai Elantra IV (HD),499000,2008,68229,седан,бежевый,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104881514-1865744c/
Hyundai Elantra VI (AD) Рестайлинг,1320000,2020,24850,седан,серый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104247747-462ecd97/
Hyundai Elantra V (MD) Рестайлинг,762000,2014,208000,седан,чёрный,1.8,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104822956-58088e4f/
Hyundai Elantra VI (AD),1320000,2019,101079,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104879830-486e7ea5/
Hyundai Elantra V (MD),699000,2013,193502,седан,бежевый,1.6,132,Бензин,4620,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104828447-36ab006a/
Hyundai Elantra IV (HD),417000,2007,242000,седан,серебристый,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104783938-006e0c50/
Hyundai Elantra III (XD2) Рестайлинг,195000,2004,296224,седан,синий,2.0,143,Бензин,5005,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103659996-e72d4822/
Hyundai Elantra VI (AD),1097000,2017,126013,седан,красный,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104691842-d89c4e1d/
Hyundai Elantra IV (HD),357000,2008,108446,седан,жёлтый,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104740108-f6ee040b/
Hyundai Elantra VII (CN7),2475000,2021,300,седан,серый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,4.3,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104100581-d476d2bb/
Hyundai Elantra VI (AD) Рестайлинг,1050000,2019,124200,седан,белый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104278650-ebafec72/
Hyundai Elantra V (MD),639000,2011,218000,седан,чёрный,1.6,132,Бензин,4620,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,3.2,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103938515-764c6bf8/
Hyundai Elantra IV (HD),465000,2007,145000,седан,синий,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104798925-b29a40d5/
Hyundai Elantra III (XD2) Рестайлинг,299000,2006,181533,хэтчбек 5 дв.,серый,1.6,105,Бензин,2625,механическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104817188-90d16fce/
Hyundai Elantra VI (AD),1198000,2018,60000,седан,чёрный,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104789508-2affdea3/
Hyundai Elantra V (MD) Рестайлинг,902000,2015,152280,седан,чёрный,1.6,132,Бензин,4620,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104803357-fca18696/
Hyundai Elantra III (XD2) Рестайлинг,230000,2005,302171,седан,серый,1.6,107,Бензин,2675,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,2.2,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104089273-3d0ddf57/
Hyundai Elantra IV (HD),460000,2008,186000,седан,красный,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104804560-075f1aea/
Hyundai Elantra VI (AD),1480000,2019,27647,седан,синий,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104802671-747e8959/
Hyundai Elantra III (XD2) Рестайлинг,399000,2006,139182,седан,красный,1.6,105,Бензин,2625,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104793761-dd2de1f9/
Hyundai Elantra VI (AD) Рестайлинг,1538000,2020,17900,седан,белый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104791719-1dc68037/
Hyundai Elantra III (XD),110000,2001,189400,седан,чёрный,2.0,143,Бензин,5005,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104697686-504079b4/
Hyundai Elantra III (XD2) Рестайлинг,199000,2005,185386,седан,чёрный,1.6,105,Бензин,3570,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104055948-b85b5ce2/
Hyundai Elantra ТагАЗ III (XD2) Рестайлинг,349000,2008,236895,седан,синий,1.6,105,Бензин,2625,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104762099-6e0f7dc6/
Hyundai Elantra V (MD) Рестайлинг,857000,2015,53500,седан,красный,1.6,132,Бензин,4620,механическая,передний,Левый,Не требует ремонта,1,Оригинал,5.2,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104891057-6e1de0e4/
Hyundai Elantra VI (AD) Рестайлинг,1395000,2019,64000,седан,синий,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104748795-6f41dfd7/
Hyundai Elantra IV (HD),475000,2008,167632,седан,красный,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104728463-1ee25375/
Hyundai Elantra III (XD2) Рестайлинг,,2005,280000,седан,серебристый,1.6,105,Бензин,2625,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104894684-ddf2e986/
Hyundai Elantra III (XD2) Рестайлинг,218000,2006,261509,седан,красный,1.6,105,Бензин,2625,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104719483-13f8de9d/
Hyundai Elantra VI (AD),1088000,2017,78946,седан,чёрный,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104708362-5760f7b0/
Hyundai Elantra V (MD),709000,2012,74900,седан,серый,1.6,132,Бензин,4620,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104698286-07964224/
Hyundai Elantra VI (AD) Рестайлинг,1305000,2019,38835,седан,серебристый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104694269-bf3c862c/
Hyundai Elantra III (XD),183000,2003,285000,седан,синий,1.6,107,Бензин,2675,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104688304-eda1e8ad/
Hyundai Elantra III (XD2) Рестайлинг,200000,2003,387600,хэтчбек 5 дв.,синий,1.6,107,Бензин,2675,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104606463-52f0f44a/
Hyundai Elantra V (MD) Рестайлинг,720000,2013,205492,седан,белый,1.8,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104671468-df9a656d/
Hyundai Elantra IV (HD),319000,2006,338415,седан,жёлтый,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104614115-79d63cde/
Hyundai Elantra IV (HD),290000,2007,322000,седан,чёрный,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,2,Оригинал,3.2,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103845068-5c6b45d3/
Hyundai Elantra V (MD),619000,2011,174701,седан,чёрный,1.6,132,Бензин,4620,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104647989-ce181bad/
Hyundai Elantra IV (HD),450000,2007,203000,седан,синий,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104883875-6cff1077/
Hyundai Elantra ТагАЗ III (XD2) Рестайлинг,350000,2009,209155,седан,серый,1.6,105,Бензин,2625,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104629554-e8c40ef8/
Hyundai Elantra ТагАЗ III (XD2) Рестайлинг,210000,2008,260000,седан,синий,1.6,105,Бензин,2625,механическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103683482-300feb4e/
Hyundai Elantra III (XD2) Рестайлинг,250000,2005,190000,седан,синий,1.6,107,Бензин,2675,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,2.4,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104880166-97776216/
Hyundai Elantra V (MD),769000,2012,81742,седан,серый,1.6,132,Бензин,4620,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104583911-ba33bb45/
Hyundai Elantra III (XD2) Рестайлинг,210000,2004,191000,седан,жёлтый,1.6,105,Бензин,2625,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,10.1,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104876973-3ecd8d7b/
Hyundai Elantra VI (AD),899000,2016,126366,седан,белый,2.0,150,Бензин,5250,механическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104583366-8063ee40/
Hyundai Elantra IV (HD),438000,2009,181000,седан,серый,1.6,122,Бензин,3050,механическая,передний,Левый,Не требует ремонта,1,Оригинал,11.4,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104685157-d3c42de3/
"Hyundai Elantra II (J2, J3)",225000,2000,216000,универсал 5 дв.,серый,2.0,139,Бензин,4865,автоматическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,9.8,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103440771-22d98bf8/
Hyundai Elantra III (XD2) Рестайлинг,345000,2005,152410,седан,чёрный,1.6,105,Бензин,2625,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104872180-92828b02/
Hyundai Elantra III (XD2) Рестайлинг,215000,2006,165000,седан,зелёный,1.6,105,Бензин,2625,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104226290-19016ee5/
Hyundai Elantra III (XD2) Рестайлинг,270000,2004,196000,хэтчбек 5 дв.,серый,1.6,105,Бензин,2625,механическая,передний,Левый,Не требует ремонта,3 или больше,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104869422-61e0462a/
Hyundai Elantra IV (HD),500000,2009,258000,седан,фиолетовый,1.6,122,Бензин,3050,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104712440-5cac1249/
Hyundai Elantra III (XD2) Рестайлинг,230000,2003,245325,седан,серебристый,1.6,107,Бензин,2675,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104071145-27f2e36c/
Hyundai Elantra VI (AD) Рестайлинг,1050000,2019,138000,седан,белый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103809820-e5ef689d/
Hyundai Elantra VI (AD),720000,2018,195000,седан,белый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,1.5,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1102379704-646a5ce1/
Hyundai Elantra VI (AD) Рестайлинг,1278000,2019,29900,седан,белый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,2.1,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104104537-564f7667/
Hyundai Elantra VI (AD) Рестайлинг,1100000,2019,77500,седан,жёлтый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104115799-3190dea2/
Hyundai Elantra VI (AD),980000,2018,43000,седан,серый,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,3.6,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103505560-ab4ef3ca/
Hyundai Elantra VI (AD),930000,2018,82000,седан,чёрный,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,2,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103705604-4f7cbfc5/
Hyundai Elantra VI (AD) Рестайлинг,1100000,2019,28901,седан,белый,1.6,128,Бензин,4480,механическая,передний,Левый,Не требует ремонта,1,Оригинал,1.9,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104242050-91893d6b/
Hyundai Elantra V (MD) Рестайлинг,666000,2014,108754,седан,чёрный,1.6,132,Бензин,4620,автоматическая,передний,Левый,Не требует ремонта,2,Дубликат,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1102928816-021304c5/
Hyundai Elantra VI (AD),870000,2018,205000,седан,белый,2.0,150,Бензин,5250,механическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104732644-e109dc81/
Hyundai Elantra V (MD) Рестайлинг,550000,2015,205000,седан,белый,1.6,132,Бензин,4620,механическая,передний,Левый,Не требует ремонта,3 или больше,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104156853-4e96d77b/
Hyundai Elantra VI (AD),1200000,2016,66000,седан,белый,2.0,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,2,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104803735-4d598c14/
Hyundai Elantra VI (AD),1300000,2017,58306,седан,синий,1.6,128,Бензин,4480,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1103290771-69142334/
Hyundai Elantra V (MD) Рестайлинг,860000,2014,53000,седан,белый,1.8,150,Бензин,5250,автоматическая,передний,Левый,Не требует ремонта,1,Оригинал,6.2,Растаможен,https://auto.ru/cars/used/sale/hyundai/elantra/1104844423-4b1f21a9/
